Дата,region,ВРІТ - вільні ліжка,ВРІТ - зайняті ліжка,ВРІТ - кількість ліжок,Всього ліжок виділених під COVID-19,Вільних ліжок,Зайняті пацієнтами з підозрою на COVID-19 ,Зайняті підтвердженими та підозрюваними випадками,Зайняті хворими на COVID-19,"Кількість вільних ліжок, забезпечених подачею кисню","Кількість зайнятих ліжок, забезпечених подачею кисню","Кількість ліжок, забезпечених подачею кисню",ШВЛ - всього аппаратів,ШВЛ - вільних аппаратів,ШВЛ - зайнято аппаратів
2020-09-30,Івано-Франківська,68.0,76.0,144.0,1899.0,1195.0,248.0,704.0,456.0,446.0,217.0,663.0,138.0,108.0,30.0
2020-09-30,Волинська,73.0,23.0,96.0,1058.0,549.0,197.0,509.0,312.0,129.0,149.0,278.0,156.0,152.0,4.0
2020-09-30,Вінницька,86.0,37.0,123.0,1197.0,529.0,346.0,668.0,322.0,234.0,197.0,431.0,145.0,110.0,35.0
2020-09-30,Дніпропетровська,136.0,41.0,177.0,3389.0,1958.0,873.0,1431.0,558.0,915.0,221.0,1136.0,414.0,401.0,13.0
2020-09-30,Донецька,59.0,91.0,150.0,1626.0,912.0,449.0,714.0,265.0,545.0,178.0,723.0,186.0,182.0,4.0
2020-09-30,Житомирська,125.0,27.0,152.0,1463.0,1089.0,50.0,374.0,324.0,718.0,66.0,784.0,189.0,177.0,12.0
2020-09-30,Закарпатська,67.0,40.0,107.0,1137.0,740.0,91.0,397.0,306.0,343.0,249.0,592.0,111.0,101.0,10.0
2020-09-30,Запорізька,246.0,49.0,295.0,1762.0,1264.0,107.0,498.0,391.0,844.0,131.0,975.0,334.0,315.0,19.0
2020-09-30,Київська,84.0,61.0,145.0,1145.0,595.0,162.0,550.0,388.0,228.0,411.0,639.0,161.0,146.0,15.0
2020-09-30,Кіровоградська,41.0,9.0,50.0,241.0,141.0,14.0,100.0,86.0,117.0,80.0,197.0,41.0,37.0,4.0
2020-09-30,Луганська,42.0,8.0,50.0,305.0,164.0,36.0,141.0,105.0,72.0,0.0,72.0,110.0,105.0,5.0
2020-09-30,Львівська,119.0,107.0,226.0,2685.0,1425.0,564.0,1260.0,696.0,567.0,815.0,1382.0,181.0,149.0,32.0
2020-09-30,Миколаївська,98.0,27.0,125.0,903.0,500.0,93.0,403.0,310.0,181.0,164.0,345.0,117.0,112.0,5.0
2020-09-30,Одеська,295.0,28.0,323.0,2936.0,1850.0,647.0,1086.0,439.0,536.0,335.0,871.0,246.0,241.0,5.0
2020-09-30,Полтавська,162.0,7.0,169.0,1395.0,1159.0,99.0,236.0,137.0,314.0,48.0,362.0,285.0,280.0,5.0
2020-09-30,Рівненська,82.0,28.0,110.0,1358.0,895.0,142.0,463.0,321.0,204.0,140.0,344.0,126.0,121.0,5.0
2020-09-30,Сумська,46.0,19.0,65.0,894.0,559.0,139.0,335.0,196.0,204.0,215.0,419.0,118.0,115.0,3.0
2020-09-30,Тернопільська,166.0,67.0,233.0,2455.0,1724.0,142.0,731.0,589.0,469.0,245.0,714.0,234.0,220.0,14.0
2020-09-30,Харківська,101.0,74.0,175.0,2708.0,1353.0,369.0,1355.0,986.0,164.0,388.0,552.0,302.0,255.0,47.0
2020-09-30,Херсонська,83.0,7.0,90.0,1189.0,1108.0,0.0,81.0,81.0,466.0,7.0,473.0,130.0,129.0,1.0
2020-09-30,Хмельницька,31.0,39.0,70.0,1219.0,432.0,327.0,787.0,460.0,325.0,279.0,604.0,111.0,101.0,10.0
2020-09-30,Черкаська,33.0,31.0,64.0,470.0,259.0,7.0,211.0,204.0,29.0,176.0,205.0,89.0,85.0,4.0
2020-09-30,Чернівецька,57.0,43.0,100.0,1220.0,663.0,213.0,557.0,344.0,203.0,162.0,365.0,141.0,141.0,0.0
2020-09-30,Чернігівська,80.0,25.0,105.0,802.0,509.0,73.0,293.0,220.0,124.0,68.0,192.0,115.0,107.0,8.0
2020-09-30,м.Київ,117.0,100.0,217.0,2239.0,929.0,120.0,1310.0,1190.0,452.0,392.0,844.0,187.0,163.0,24.0
