region,p2_01,p2_02,p2_03,p2_04,p2_05,p2_06,p2_07,p2_08,p2_09,p2_10,P2
Вінницька,0.6482173680982597,0.23779965359796112,0.3348289198098132,0.20158989979297828,0.16270673300569677,0.9312238498019796,0.9605598183250514,0.9156819970416908,0.0,0.9929083854779088,5.706421074337564
Волинська,0.4100562616500244,0.05782248134947393,0.48730855733116796,0.1297788150285998,0.017311349881740653,0.5436630661290726,0.9759486069321388,0.9096453382090803,0.9895209512842792,0.9651925112321492,4.861627260349718
Дніпропетровська,1.0,1.0,0.7624622173327056,1.0,1.0,0.5452949730997207,0.648680518927303,0.8229019841184109,1.0,0.0,7.67043871448558
Донецька,0.2430680552666548,0.3576798632468894,0.12652990525060057,0.7498615973320572,0.21422685759365015,0.9084485883610793,0.96898587479254,0.8535522759151004,1.0,0.9705189202814589,6.333148418960737
Житомирська,0.5741464387184493,0.1332362240113714,0.32302878316708855,0.253528992460671,0.062417391430651975,0.8873605621245191,0.9928039930975943,0.9865747239560521,0.8649629019654682,0.9966640122941369,5.965387754670312
Закарпатська,0.24774204309398287,0.05150124881174259,0.0,0.16576861540056934,0.010880893510503219,0.44688935279048764,0.9982680804687936,0.9375202943979504,0.9996825575732393,0.9974724978839018,4.051205826745445
Запорізька,0.8339174014272218,0.35208658301332557,0.4233010587688242,0.1532774356843625,0.3145612500055318,1.8355154409239104e-05,0.9976336827291191,0.7721954718797566,0.9830175871852176,0.7514773301786402,4.267392161768248
Івано-Франківська,0.35409662871698205,0.09805543885461991,0.4832430800437562,0.14014242852835004,0.048792999110685874,0.5952900606792947,0.9940441287798485,0.6308026153151831,0.896323421178137,0.9944276079568158,4.809804335221371
Київська,0.9824546071623235,0.4757115327872882,0.7517111486644714,0.753044444058044,0.249782456363521,0.6462863867936942,0.9095049589061138,0.0,0.9737771863699946,0.694425746076804,6.439487588115455
Кіровоградська,0.6895869441908841,0.1135524718037941,0.6262003242149842,0.01633399300509732,0.1728516847776811,0.5648190209329994,0.9877380980201599,0.8420109530003875,0.9990285790708374,0.9999176476148601,5.423507518891343
Луганська,0.0,0.012793726805121393,1.0,0.07304135389350563,0.003084609338944676,1.0,0.9997441932320403,0.9776631926464546,0.9964250296708574,0.9953696476320467,6.069670979525946
Львівська,0.6336586774777289,0.4553061626096953,0.21434127856456467,0.5702992600734372,0.17116399483954942,0.3678706272191463,0.0,0.03995120950368858,0.9962573083674762,0.9928346263851313,4.232597906773027
Миколаївська,0.7551034461004567,0.1613572014596461,0.699282844633906,0.11397123929165388,0.1849863993375705,0.8472602358873628,0.9919507456457091,0.7946980058269892,1.0,0.9620692075122562,6.375800444907237
Одеська,0.6366096643320306,0.5088154982754344,0.0993421934941985,0.6951599331960097,0.5656403032587346,0.756381726594597,0.38949402631631636,0.5577866339598607,0.9995289672522893,0.8968625889584786,6.173817044347242
Полтавська,0.8596215065502771,0.3103013511796299,0.2953872315086611,0.21202927856303916,0.2570357542982855,0.8024995019026729,0.9977631656371088,0.861675172482028,0.9922108006126791,0.7188439443784829,6.172182053800511
Рівненська,0.4030354307832761,0.07123077196712944,0.4929435758687558,0.0676759128425484,0.009046757260131714,0.6443028997306206,0.9663261086031991,0.9515279758003395,0.9980457187749447,0.9583887720041993,5.07612005753757
Сумська,0.6390085463706043,0.11362574113407228,0.21767846573824565,0.02031380361259249,0.07804936061183725,0.8743465341190457,0.9684519956772044,0.991087964125628,0.952361093704395,0.952077714871695,5.669528983001793
Тернопільська,0.3975174719394728,0.05155287786833379,0.48020787291474454,0.011518133399187041,0.004873719081808412,0.8940184659706323,0.9690472668944176,1.0,0.9684768903763804,0.9999964194615156,5.641666600587822
Харківська,0.7127590918176507,0.6127840027896467,0.5195774223089701,0.6898960593434188,0.5141728264881941,0.7475552498648862,0.0039585155336481215,0.9064603418738261,0.986119169602911,0.9698740653004286,6.709585085104356
Херсонська,0.4823005758860884,0.09395391407564949,0.7187636076765891,0.09156472418093181,0.1530113259155357,0.8755703978678475,0.9787398732529037,0.9348334869733071,0.98939410889436,0.9998743230991995,6.167796262541769
Хмельницька,0.5661728835197033,0.13427823886805199,0.5465741711255344,0.08187700628954793,0.09416091754252442,0.8988502100045916,0.9686957752261973,0.9533566102824705,0.8175592597047465,0.9982888606583321,6.006376558526682
Черкаська,0.6197389214946002,0.1532116404461185,0.256237122944006,0.08226741780598791,0.12986286075691675,0.920422662361645,0.946903063431629,0.8864584309494161,0.9225888800944084,1.0,5.8898436033989
Чернівецька,0.22630141506238752,0.0,0.321282646886802,0.0,0.0,0.08200644930001069,1.0,0.8975483518689791,0.9884947727981953,0.9995255786508245,3.1810806247729655
Чернігівська,0.5876642632283268,0.10450079452626548,0.6986636104386476,0.03907919921203664,0.11048373768171679,0.8528866068307671,0.9904666020495447,0.9394487409663984,0.9665801424369383,0.9982283495579467,6.106810519045678
м.Київ,,,,,,,,,,,
