region,p2_04_raw,p2_05_raw,p2_02_raw,p2_01_raw,p2_03_raw,p2_06_raw,p2_07_raw,p2_08_raw,p2_09_raw,p2_10_raw
Вінницька,886334839.0600001,318402277.4400001,2699850608.6,1104.547663760827,1.074470608417835,0.9097060439869054,10584.54,26119.66,118887.7,198.06
Волинська,728099249.5600001,143322988.82,1361309457.27,829.0046052523061,1.093456497173047,0.5311006341334994,6541.33,27435.71,1245.83,972.13
Дніпропетровська,2904803269.78,1369062754.09,8009664535.36,1471.057207453069,1.070235256985701,0.5326948326011811,92526.89,46346.6,0.0,27928.76
Донецька,2489269149.22,384234081.6100001,3541499305.249999,603.1189534000289,1.036963535243896,0.8874570509112075,8370.7,39664.54,0.0,823.37
Житомирська,883056610.5600001,203240998.54,1891099072.29,993.1595170801966,1.056936433398816,0.866856306066418,2112.79,10664.36,16054.25,93.17
Закарпатська,739349438.36,137473119.38,1321166816.34,645.2187138356044,1.046959489112917,0.4365630726847808,677.17,21358.7,37.74,70.59
Запорізька,838093707.29,510278324.0399999,3478791827.74,1291.205290231092,1.061576823083335,1.793102153467012e-05,843.85,57401.11,2019.0,6940.93
Івано-Франківська,730737763.9100001,184400596.11,1666603116.25,764.5980797706577,1.096025238928333,0.5815346828159972,1786.96,88226.12,12325.87,155.63
Київська,2222137629.68,433650980.0500001,4407523080.82,1492.398365658319,1.102393317698246,0.63135263592927,23998.56,225747.19,3117.57,8534.31
Кіровоградська,390117643.12,321164560.5600001,1737127208.959999,1116.396217832448,1.082914965474865,0.5517677379190591,3443.79,42180.66,115.49,2.3
Луганська,578050609.58,120731984.59,1016986932.04,333.0926496928134,1.139616301561141,0.9768929824771456,289.34,12607.16,425.02,129.32
Львівська,2141393978.7,348821194.4399999,4270256978.080001,1077.600007844791,1.049002838858524,0.3593702341898501,262959.51,217037.44,444.96,200.12
Миколаївська,634697163.96,329232501.9300001,2072604624.200001,1179.77679616968,1.083414945107763,0.8276825787702957,2336.97,52495.34,0.0,1059.36
Одеська,2127668419.17,838878483.44,4671711700.000001,1077.151988715445,1.038483535303035,0.7389040007842088,160624.87,104144.31,56.0,2880.5
Полтавська,1054288686.59,429411068.3800001,3123705000.3,1324.498369495845,1.031710164445041,0.7839561318501259,809.83,37893.67,926.04,7852.34
Рівненська,560033348.67,134564964.21,1448041841.87,816.3485841347884,1.083961375159519,0.6294149813365193,9069.52,18304.89,232.34,1162.15
Сумська,411405116.19,228237179.39,1771898437.87,1063.583209312764,1.060710823439051,0.8541429934341099,8510.97,9680.43,5663.68,1338.41
Тернопільська,376661912.25,124977026.93,1310610222.86,812.9596927425757,1.089507827503899,0.8733603656116935,8354.57,7737.52,3747.71,0.1
Харківська,2202457162.88,771094326.8399998,5387164582.4,1159.945131867697,1.072563777255553,0.7302814776069565,261919.46,28130.07,1650.26,841.38
Херсонська,541999636.33,278183559.75,1569098475.51,886.9520590859929,1.075526360443944,0.8553385773418226,5807.96,21944.45,1260.91,3.51
Хмельницька,580348916.59,234136244.57,1933747382.5,1001.199237789053,1.100342298105762,0.8780804624515942,8446.92,17906.23,21689.96,47.79
Черкаська,562009752.28,285876219.65,2044577363.98,1038.592377908909,1.053420389434738,0.8991544397740222,14172.68,32490.68,9203.23,0.0
Чернівецька,360268335.64,119831373.33,925604231.4300002,608.9622153818821,1.071639873423947,0.08011152483904828,222.13,30072.97,1367.83,13.25
Чернігівська,483631437.44,262475689.66,1681581754.31,1013.923012927366,1.09738147619095,0.8331789410617207,2726.91,20938.28,3973.21,49.48
м.Київ,,,,,,,,,,
