region,p4_02_raw,p4_03_raw,p4_05_raw,p4_08_raw,p4_07_raw
Вінницька,0.9574468085106383,0.7982155113246396,0.01348030446236398,78.88641670470368,41.8
Волинська,1.0,0.8789323164918971,0.0106811982907537,58.40866036843843,48.49744811183528
Дніпропетровська,0.7424242424242424,0.5435540069686411,0.02236182468494011,79.27560593607058,44.64285714285715
Донецька,0.5955056179775281,0.4456035767511177,0.0119722392193488,56.79760230517196,60.21276926994324
Житомирська,0.30985915492957744,0.3046482412060301,0.01503008975174106,64.60743248711344,63.54090881347656
Закарпатська,1.0,0.9291882556131261,,47.15498805826162,55.8740950180934
Запорізька,0.8734177215189873,0.5873563218390805,0.01065110430928281,78.36730832319131,40.40000012003142
Івано-Франківська,1.0,1.0,,47.61981855088591,58.33333333333334
Київська,0.9636363636363636,0.827708703374778,,76.03709126888641,49.27494395862926
Кіровоградська,0.8787878787878788,0.6925531914893617,0.02935777439737891,47.83206673059987,27.22727272727273
Луганська,1.0,0.7069306930693069,0.01808848046863001,55.75626898226791,60.00816087722778
Львівська,0.8450704225352113,0.5475550779150994,0.01160833588722035,82.3718335017142,47.92400009155273
Миколаївська,0.9615384615384616,0.7559322033898305,0.02400765879616545,59.9294959900803,48.55
Одеська,0.9423076923076923,0.6717081850533808,0.007519449972860488,96.01208010074157,40.33448245607573
Полтавська,0.9545454545454546,0.553763440860215,0.01263135685331765,74.7601787467502,53.25599999904632
Рівненська,0.9629629629629629,0.7807807807807807,0.02058237596664865,48.66980938281576,47.1304347826087
Сумська,0.9714285714285714,0.5024088093599449,0.01035186869762132,34.53824974966683,34.99166666716337
Тернопільська,0.9428571428571428,0.7371031746031746,0.1640336420980848,88.43164058438735,52.27272727272727
Харківська,1.0,0.5041866028708134,0.01046814665229433,52.31640926234197,49.56666666666667
Херсонська,0.8,0.5287878787878788,0.02351306686087227,73.5786012221655,67.92307692307692
Хмельницька,0.7222222222222222,0.2704802259887006,0.0271782509445844,55.72423087585876,55.32199996948242
Черкаська,1.0,0.8525402726146221,0.034004581823927,54.27103306160613,45.0628571340016
Чернівецька,0.9,0.8790931989924433,0.01343092740462397,70.17634560814619,74.6
Чернігівська,0.9230769230769231,0.5384615384615384,0.02024828151604973,58.68043445520396,57.5083331267039
м.Київ,1.0,,,84.38954492227899,69.43636495416814
