region,p5_01,p5_02,p5_03,p5_07,P5
Вінницька,0.0012403496691640863,0.9571440948867497,,,
Волинська,0.0012021676126153704,0.5599461736643768,0.899639803977655,0.01643835616438356,3.6930662535475767
Дніпропетровська,0.011005524477954207,0.21779993745874013,0.3516603676908105,0.222972972972973,2.0085970065011947
Донецька,0.003143037670398877,0.14039811797715143,0.3154230695840771,0.1710526315789474,1.575042142026437
Житомирська,0.0018791553575842929,1.0,0.4732353765621267,0.009259259259259259,3.7109344779474256
Закарпатська,0.000219100837338859,0.13228934898177558,0.36658128970300224,0.006880733944954129,1.264926183667677
Запорізька,0.002843534050832238,0.27133951926705796,0.12256421897772117,0.1296296296296296,1.3159422548131026
Івано-Франківська,0.0011770120988953184,0.117512055058741,0.9855333486753619,0.03137254901960784,2.838987412131515
Київська,,,,,
Кіровоградська,0.0016400158960116179,0.278810618050058,,,
Луганська,0.001171794980461202,0.376058192595104,,,
Львівська,0.0022383953843032,0.21345714937209873,,,
Миколаївська,0.002545705283997985,0.36074129145587286,0.40105857159280406,0.1079136690647482,2.180648093493558
Одеська,0.004620743199447266,0.14025628058378978,0.25103727100911677,0.009345794392523364,1.0131502229621931
Полтавська,0.0016601769611211499,0.2749471916117375,0.617743999269546,0.0136986301369863,2.2701249949484774
Рівненська,0.0008060319016662084,0.9572577954541771,1.0,0.2318339100346021,5.474744343476114
Сумська,0.0003750065689211204,0.927787412195421,,,
Тернопільська,0.0016092633219972467,0.24312448531861527,,,
Харківська,0.1007589608887265,0.016316689736794315,,,
Херсонська,0.009177197499319459,0.2620137639455644,,,
Хмельницька,0.0015347171624784906,0.9858878364621927,,,
Черкаська,0.0006458690636220323,0.7268484697582884,,,
Чернівецька,0.0016067655022122434,0.27974559202271676,,,
Чернігівська,0.0001853320766337872,0.9965019629350202,,,
м.Київ,,,,,
