region,p8_03,p8_04,P8
Вінницька,0.6,0.805673352859285,7.028366764296425
Волинська,0.85,0.7948854199668738,8.224427099834369
Дніпропетровська,0.85,0.9265500135477553,8.882750067738776
Донецька,0.6,0.9599057196274586,7.799528598137293
Житомирська,0.7,0.87372722992102,7.868636149605099
Закарпатська,0.55,0.9277955270350727,7.388977635175364
Запорізька,0.55,0.8572750759988675,7.036375379994338
Івано-Франківська,0.75,0.7093486262132344,7.296743131066172
Київська,0.0,1.0,5.0
Кіровоградська,0.75,0.9068642188680139,8.28432109434007
Луганська,0.85,0.8193716585988889,8.346858292994444
Львівська,0.15,0.9760813732942246,5.630406866471123
Миколаївська,0.6,0.758114792548033,6.790573962740165
Одеська,0.75,0.8253632383869125,7.876816191934562
Полтавська,0.45,0.9815762918077178,7.157881459038588
Рівненська,0.75,0.6215716601430501,6.85785830071525
Сумська,0.8,0.8633213985964452,8.316606992982226
Тернопільська,0.8,0.776703055754341,7.883515278771704
Харківська,0.45,0.9712996359483614,7.106498179741807
Херсонська,1.0,0.7205853587484625,8.602926793742313
Хмельницька,0.8,0.8567602123104895,8.283801061552447
Черкаська,0.65,0.9117523661394804,7.808761830697401
Чернівецька,0.9,0.5966024047285076,7.483012023642538
Чернігівська,0.75,0.9259097206906586,8.379548603453292
м.Київ,,0.9417056061239459,
