region,p8_04_raw
Вінницька,0.2518817953721773
Волинська,0.2618990672088017
Дніпропетровська,0.1396402398401066
Донецька,0.10866737613811044
Житомирська,0.18868950516585098
Закарпатська,0.13848370250315148
Запорізька,0.20396636124011547
Івано-Франківська,0.3413253413253413
Київська,0.07143732385737042
Кіровоградська,0.15791973402992163
Луганська,0.2391620599359907
Львівська,0.09364726788094181
Миколаївська,0.29604289940828404
Одеська,0.23359850257370143
Полтавська,0.08854489164086687
Рівненська,0.42283175584315236
Сумська,0.1983519717480871
Тернопільська,0.2787825319805911
Харківська,0.0980874107074276
Херсонська,0.3308913308913309
Хмельницька,0.20444444444444446
Черкаська,0.15338078291814947
Чернівецька,0.44601727447216893
Чернігівська,0.14023479188900748
м.Київ,0.12556732223903178
