Область,Індекс та номер дороги,Код КОАТУУ області,Довжина (протяжність) дороги (км),Найменування дороги,Найменша ширина земляного полотна (м),"Територіальний статус (обласна, районна)"
Вінницька,О020101,0500000000,12.18,Бар-Антонівка-Маньківці,10.0,обласна
Вінницька,О020102,0500000000,10.8,Бар-Сеферівка,10.0,обласна
Вінницька,О020103,0500000000,10.279,Бар-Гармаки,10.0,обласна
Вінницька,О020104,0500000000,7.47,Бар-Комарівці,10.0,обласна
Вінницька,О020105,0500000000,25.52,Гулі-Муровані Курилівці,9.0,обласна
Вінницька,О020106,0500000000,30.935,Лугове-Мигалівці-Супівка-Снітків,8.0,обласна
Вінницька,О020107,0500000000,9.527,Копайгород-станціяКотюжани,8.9,обласна
Вінницька,О020108,0500000000,8.572,Границя Хмельницької області-Ялтушків,10.0,обласна
Вінницька,О020109,0500000000,27.0,станція Бар-Чернятин-Жмеринка,10.0,обласна
Вінницька,О020110,0500000000,61.8,Бар-Шаргород-Нові Хоменки,9.0,обласна
Вінницька,О020201,0500000000,9.205,Бершадь-Поташня,10.0,обласна
Вінницька,О020202,0500000000,21.81,Бершадь-Пятківка-Жабокрич-Бондурівка,9.2,обласна
Вінницька,О020203,0500000000,10.81,Східний об'їзд м.Бершадь,10.0,обласна
Вінницька,О020205,0500000000,25.843,Джулинка-Дяківка-Серебрія,6.0,обласна
Вінницька,О020206,0500000000,37.546,Берізки Бершадські-Баланівка,8.0,обласна
Вінницька,О020207,0500000000,19.99,Флорино-Голдашівка,6.0,обласна
Вінницька,О020208,0500000000,9.012,Веселівка-Тернівка,10.0,обласна
Вінницька,О020301,0500000000,32.111,Вінниця-Гнівань-Тиврів,8.0,обласна
Вінницька,О020302,0500000000,5.2,Некрасове-Микулинці,10.0,обласна
Вінницька,О020303,0500000000,19.15,Стрижавка-Мізяків-Гущенці,10.0,обласна
Вінницька,О020304,0500000000,38.992,Вороновиця-Іллінці,10.0,обласна
Вінницька,О020305,0500000000,71.165,Вороновиця-Тиврів-Шаргород,10.0,обласна
Вінницька,О020401,0500000000,23.515,Гайсин-Гранів-Нараївка,6.0,обласна
Вінницька,О020402,0500000000,18.493,(Cтрий-Тернопіль-Кропивницький-Знам'янка)-Гайсин-Шура Бондурівська,7.0,обласна
Вінницька,О020403,0500000000,22.214,Мар'янівка-Губник,7.0,обласна
Вінницька,О020404,0500000000,28.63,станція Губник-Соболівка-Красносілка,6.0,обласна
Вінницька,О020405,0500000000,17.422,Куна-Степашки,10.0,обласна
Вінницька,О020406,0500000000,18.163,Тарасівка-станція Зятківці,7.0,обласна
Вінницька,О020407,0500000000,1.6,(Cтрий-Тернопіль-Кропивницький-Знам'янка)-(Гайсин-Теплик),12.0,обласна
Вінницька,О020408,0500000000,29.636,Гайсин-Теплик,9.0,обласна
Вінницька,О020501,0500000000,12.002,Іллінці-Бабин,6.0,обласна
Вінницька,О020502,0500000000,10.318,Іллінці-Василівка,10.0,обласна
Вінницька,О020503,0500000000,9.9,Іллінці-Красненьке,10.0,обласна
Вінницька,О020506,0500000000,35.17,Дашів-Фронтівка-Угарове,6.0,обласна
Вінницька,О020507,0500000000,5.504,Слобідка-Іллінці,6.0,обласна
Вінницька,О020508,0500000000,3.44,(Вороновиця-Іллінці)-Якубівка,10.0,обласна
Вінницька,О020509,0500000000,16.347,Паріївка-станція Оратів,10.0,обласна
Вінницька,О020601,0500000000,38.308,Рожепи-Сербинівці-Ярошенка,7.0,обласна
Вінницька,О020602,0500000000,17.387,Браїлів-Гнівань,10.0,обласна
Вінницька,О020603,0500000000,36.4,(М-21)-Браїлів-Рижавка-Тиврів,8.0,обласна
Вінницька,О020605,0500000000,14.5,Браїлів-Жмеринка-Мала Жмеринка,10.0,обласна
Вінницька,О020607,0500000000,16.051,Станіславчик-Тарасівка-станція Ярошенка,8.0,обласна
Вінницька,О020608,0500000000,20.867,Телелинці-Мовчани-Носиківка,10.0,обласна
Вінницька,О020702,0500000000,40.113,Чернятин-Калинівка-Шепіївка,8.0,обласна
Вінницька,О020705,0500000000,7.902,Калинівка-Павлівка,10.0,обласна
Вінницька,О020708,0500000000,21.481,М-21-Голендри-Нова Гребля,8.0,обласна
Вінницька,О020801,0500000000,47.346,Махнівка-Уланів,9.0,обласна
Вінницька,О020802,0500000000,22.545,/Кременець-Біла Церква-Ржищів-Канів-Софіївка/-Журбинці-Самгородок,10.0,обласна
Вінницька,О020803,0500000000,16.238,(Н-02) - Махаринці - Козятин - (Н-02),9.0,обласна
Вінницька,О020804,0500000000,17.4,Пляхова-Непедівка-Білопілля,10.0,обласна
Вінницька,О020805,0500000000,12.6,/Кременець-Біла Церква-Ржищів-Канів-Софіївка/-(Білопілля-Вівсяники) через Королівку,10.0,обласна
Вінницька,О020806,0500000000,54.662,Білопілля-Вівсяники,9.0,обласна
Вінницька,О020807,0500000000,9.0,Границя Житомирської області-Кашперівка-границя Житомирської області,12.0,обласна
Вінницька,О020902,0500000000,15.978,Іллівка-Павлівка,10.0,обласна
Вінницька,О020903,0500000000,23.983,Савчине-Гарячківка,6.0,обласна
Вінницька,О020904,0500000000,14.87,Соколівка-Павлівка,6.0,обласна
Вінницька,О020905,0500000000,10.923,Шарапанівка-Куниче-Соколівка,8.0,обласна
Вінницька,О020906,0500000000,10.526,Городківка-Савчине,6.0,обласна
Вінницька,О021001,0500000000,15.803,Липовець-Жорнище,9.0,обласна
Вінницька,О021002,0500000000,8.6,Росоша-станція Липовець,10.0,обласна
Вінницька,О021003,0500000000,37.703,Липовець-Славна-Спиченці-Погребище,8.0,обласна
Вінницька,О021004,0500000000,6.3,Нова Прилука-Лісова Лисіївка,10.0,обласна
Вінницька,О021006,0500000000,25.63,Брицьке-Щаслива,8.7,обласна
Вінницька,О021007,0500000000,16.302,Зозівка-Троща,8.0,обласна
Вінницька,О021008,0500000000,12.88,Нова Прилука-Нова Гребля,10.0,обласна
Вінницька,О021101,0500000000,10.94,Літин-Микулінці-Некрасове,10.0,обласна
Вінницька,О021102,0500000000,4.0,Літин-Бірків,9.0,обласна
Вінницька,О021104,0500000000,11.628,Уладівка-Пиків,9.0,обласна
Вінницька,О021105,0500000000,26.673,Горбівці-Лисогірка-Кармелюкове,5.5,обласна
Вінницька,О021106,0500000000,28.553,Бруслинів-Стрижавка,8.0,обласна
